# light_sources
name,description,wavelength_nm
my_488,https://this_is_a_url/a_laser_at_488,488
my_561,https://this_is_a_url/a_laser_at_561,561

# power_meters
name,description,manufacturer,model
my_Thorlabs_pm,My black powermeter,Thorlabs,PM100D-S170C

# acquisition_datetime
"2024-07-16T00:00:00,000"

# input_data
## power_measurements
acquisition_datetime,light_source,power_meter,measuring_location,power_set_point,power_mw,integration_time_seconds
"2024-07-16T19:20:30,000",my_488,my_Thorlabs_pm,OBJECTIVE_FOCAL,1,8.1199999999999992,"0.01"
"2024-07-16T19:20:30,000",my_488,my_Thorlabs_pm,OBJECTIVE_FOCAL,1,9.1199999999999992,"0.01"
"2024-07-16T19:20:30,000",my_488,my_Thorlabs_pm,OBJECTIVE_FOCAL,1,8.3399999999999999,"0.01"
"2024-07-16T19:20:30,000",my_488,my_Thorlabs_pm,OBJECTIVE_FOCAL,1,8.5600000000000005,"0.01"

"2024-07-16T19:20:35,000",my_488,my_Thorlabs_pm,OBJECTIVE_FOCAL,0.40000000000000002,3.7999999999999998,"0.01"
"2024-07-16T19:20:35,000",my_488,my_Thorlabs_pm,OBJECTIVE_FOCAL,0.59999999999999998,5.5999999999999996,"0.01"
"2024-07-16T19:20:35,000",my_488,my_Thorlabs_pm,OBJECTIVE_FOCAL,0.80000000000000004,7.4500000000000002,"0.01"
"2024-07-16T19:20:35,000",my_488,my_Thorlabs_pm,OBJECTIVE_FOCAL,1,8.5600000000000005,"0.01"

"2024-07-16T19:20:40,000",my_561,my_Thorlabs_pm,OBJECTIVE_FOCAL,1,5.2199999999999998,"0.01"
"2024-07-16T19:20:40,000",my_561,my_Thorlabs_pm,OBJECTIVE_FOCAL,1,5.1200000000000001,"0.01"
"2024-07-16T19:20:40,000",my_561,my_Thorlabs_pm,OBJECTIVE_FOCAL,1,5.4199999999999999,"0.01"
"2024-07-16T19:20:40,000",my_561,my_Thorlabs_pm,OBJECTIVE_FOCAL,1,5.0499999999999998,"0.01"

"2024-07-16T19:20:45,000",my_561,my_Thorlabs_pm,OBJECTIVE_FOCAL,0.40000000000000002,2.0299999999999998,"0.01"
"2024-07-16T19:20:45,000",my_561,my_Thorlabs_pm,OBJECTIVE_FOCAL,0.59999999999999998,3.4500000000000002,"0.01"
"2024-07-16T19:20:45,000",my_561,my_Thorlabs_pm,OBJECTIVE_FOCAL,0.80000000000000004,4.8499999999999996,"0.01"
"2024-07-16T19:20:45,000",my_561,my_Thorlabs_pm,OBJECTIVE_FOCAL,1,5.4400000000000004,"0.01"
